31,Fran,Shillabear,10/17/2018,667,0,0,09754 Loeprich Park,57496373107
32,Parry,Langshaw,02/16/2019,346,1,0,16783 Moland Pass,25313662462
33,Cortney,Fromant,08/15/2018,391,3,1,283 Stephen Alley,14142937420
34,Gaye,Dachs,07/16/2018,671,1,1,2702 Division Crossing,66082693193
35,Chic,Stiling,08/18/2018,364,3,1,534 Union Center,81217055403
36,Nickolas,MacLure,02/19/2019,470,1,0,41620 Southridge Lane,73386007855
37,Sonny,Spurway,12/27/2018,466,3,1,6 Monument Alley,80263064445
38,Thorndike,Lefever,05/25/2018,562,2,1,99 Hanson Parkway,69414359098
39,Robbie,Hagwood,01/14/2019,429,1,0,424 Quincy Terrace,54109819764
40,Zackariah,Seneschal,07/14/2018,624,1,0,8 Di Loreto Park,90833054300
41,Maggy,Aldiss,06/25/2018,585,1,0,831 Ridge Oak Avenue,92023968932
42,Johnette,Jimeno,08/11/2018,638,0,0,775 Di Loreto Drive,28472086556
43,Victor,MacArdle,04/03/2019,408,2,0,127 Memorial Alley,10605626720
44,Ricoriki,Knutton,06/09/2018,691,0,1,3 Sachtjen Hill,07286904464
45,Gerhardine,Rickets,08/31/2018,442,3,1,7788 American Ash Terrace,85590249734
46,Lennard,Game,04/17/2019,413,0,0,44944 Cardinal Alley,56699945209
47,Tedie,Gabbatt,11/08/2018,427,0,1,87 Kingsford Circle,75672080910
48,Drona,Ranaghan,07/28/2018,390,1,1,866 Stuart Center,05356363195
49,Katey,Bandey,02/19/2019,637,1,0,5119 Eagle Crest Junction,73721662397
50,Annmaria,Mattisson,01/02/2019,573,1,1,1127 Eastwood Terrace,39384097658
51,Alverta,Voase,02/19/2019,591,1,0,14 Corben Alley,34449750128
52,Pauly,Grimster,04/13/2019,681,2,1,4 Farragut Street,92024842347
53,Lonna,Dignum,08/10/2018,692,2,1,9069 Bartelt Way,51272022692
54,Bette,Dargan,11/29/2018,556,1,1,5 Mayfield Hill,59107694975
55,Hendrik,Blaydes,07/18/2018,471,1,0,1254 Orin Parkway,11841030184
56,Ferrell,Hoofe,10/22/2018,699,3,1,88535 Cambridge Place,00620618894
57,Reinwald,Reyes,09/19/2018,497,2,1,603 Linden Point,07248747765
58,Laurence,Iorizzo,11/11/2018,328,2,1,59 Mayfield Circle,28100811973
59,Ewart,Bubbins,06/18/2018,541,3,1,98705 Derek Place,24970797559
60,Ursa,Cosgreave,02/02/2019,500,0,0,176 Hazelcrest Place,95124828068
61,Dorri,Galvan,08/26/2018,451,0,1,36 Clarendon Junction,56234550571
62,Babbie,Spinke,05/23/2019,511,1,0,78445 Knutson Crossing,91387354316
63,Raeann,Tothe,06/15/2018,645,3,0,4315 Canary Hill,85346733471
64,Kiele,Giveen,02/01/2019,412,0,1,17 Morning Parkway,06649821399
65,Blanch,Carous,06/28/2018,590,0,1,3 Swallow Place,23210652747
66,Sam,Reaper,04/27/2019,393,1,0,29354 2nd Point,69355600854
67,Skelly,Skelcher,01/21/2019,467,2,0,9 Barby Pass,43468723143
68,Hamilton,Splaven,09/04/2018,315,2,0,3 Ludington Way,20358147265
69,Tatiania,Scurrah,02/21/2019,463,2,0,772 Johnson Point,13157152045
70,Brent,Dicte,02/05/2019,609,2,1,37348 Melvin Park,75649247005
71,Ariadne,Yakobovitz,10/23/2018,335,1,0,4 Talisman Alley,54536097366
72,Benedict,Francioli,12/26/2018,332,0,0,396 Hauk Junction,24718325040
73,Sibilla,Dingwall,08/09/2018,605,2,0,18 Carioca Terrace,70937081492
74,Harli,Halifax,08/30/2018,412,3,1,14771 Thackeray Point,19780507831
75,Read,Pryce,05/03/2019,603,1,0,18715 Tomscot Terrace,43784868185
76,Ermanno,Yeandel,11/03/2018,431,3,1,3441 Talisman Hill,17573230314
77,Chelsy,Towell,08/23/2018,501,3,1,59 Sunbrook Court,44752064289
78,Nerta,Gutans,02/23/2019,328,3,1,78 Florence Circle,70235872457
79,Jack,Habin,01/26/2019,434,1,0,82405 Express Pass,02143310646
80,Teodoor,Monckman,02/15/2019,633,3,0,86681 Bay Plaza,20110962041
81,Gerty,Parman,06/01/2018,577,0,1,0 Armistice Point,27366615054
82,Cacilia,Daybell,10/17/2018,694,0,1,325 Village Green Trail,23886449411
83,Jessica,Sisey,10/05/2018,552,0,0,6380 Grayhawk Drive,34688823778
84,Karil,Hollyar,04/24/2019,585,1,1,0 International Lane,04450988827
85,Hildegaard,Cay,02/27/2019,323,2,1,92829 Roth Park,53569597584
86,Neel,Harbottle,12/14/2018,357,1,0,143 Elka Place,42901896148
87,Noelani,Jiroudek,11/28/2018,449,0,1,74471 Jana Road,92951002100
88,Shayne,Bloxham,02/11/2019,368,1,0,83 Derek Junction,03917638812
89,Georgie,Elcum,11/20/2018,606,3,0,9 Ridgeview Avenue,69643670834
90,Vilma,Heindle,01/07/2019,486,1,1,991 Autumn Leaf Center,29910766784
91,Hazlett,Pfeifer,01/21/2019,510,2,0,8 Truax Point,24855519385
92,Candie,Pea,05/13/2019,617,1,1,37 Dennis Terrace,81361050916
93,Roby,Joselevitz,03/20/2019,598,2,1,19780 Schiller Point,19516393559
94,Kristina,Ajsik,11/29/2018,545,0,1,89 Crowley Terrace,05636207960
95,Cynthea,Freyn,01/29/2019,353,2,0,93836 Kipling Circle,16747530880
96,Clemens,Bartlomieczak,11/28/2018,474,0,0,660 Luster Circle,56654437956
97,Phillipe,Sillwood,02/28/2019,325,1,0,53 Mendota Avenue,62736614335
98,Joline,Carous,04/29/2019,407,0,0,501 Hintze Road,23980733405
99,Derrek,L'Hommeau,10/10/2018,635,0,1,0427 Hooker Trail,61896799783
100,Blane,Cutmare,06/28/2018,322,0,0,00 Talisman Pass,86929081026
